key,values
"['13', '11', '2016']","['56', '13']"
"['13', '11', '2017']","['53', '8']"
"['13', '11', '2018']","['63', '12']"
"['13', '11', '2019']","['37', '7']"
"['13', '11', '2020']","['33', '5']"
"['13', '11', '2021']","['31', '11']"
"['13', '11', '2022']","['27', '18']"
"['13', '11', '2023']","['25', '30']"
"['13', '12', '2008']","['24', '5']"
"['13', '12', '2009']","['20', '7']"
"['13', '12', '2010']","['24', '6']"
"['13', '12', '2011']","['22', '2']"
"['13', '12', '2012']","['14', '6']"
"['13', '12', '2013']","['31', '5']"
"['13', '12', '2014']","['49', '11']"
"['13', '12', '2015']","['54', '11']"
"['13', '12', '2016']","['59', '10']"
"['13', '12', '2017']","['72', '5']"
"['13', '12', '2018']","['44', '7']"
"['13', '12', '2019']","['45', '9']"
"['13', '12', '2020']","['19', '8']"
"['13', '12', '2021']","['32', '8']"
"['13', '12', '2022']","['37', '18']"
"['13', '12', '2023']","['22', '30']"
"['13', '13', '2008']","['13', '8']"
"['13', '13', '2009']","['19', '6']"
"['13', '13', '2010']","['23', '4']"
"['13', '13', '2011']","['17', '5']"
"['13', '13', '2012']","['18', '7']"
"['13', '13', '2013']","['37', '6']"
"['13', '13', '2014']","['41', '10']"
"['13', '13', '2015']","['52', '6']"
"['13', '13', '2016']","['69', '9']"
"['13', '13', '2017']","['39', '10']"
"['13', '13', '2018']","['57', '6']"
"['13', '13', '2019']","['42', '3']"
"['13', '13', '2020']","['28', '7']"
"['13', '13', '2021']","['20', '10']"
"['13', '13', '2022']","['29', '21']"
"['13', '13', '2023']","['25', '25']"
"['13', '14', '2008']","['22', '7']"
"['13', '14', '2009']","['27', '5']"
"['13', '14', '2010']","['11', '1']"
"['13', '14', '2011']","['21', '8']"
"['13', '14', '2012']","['19', '5']"
"['13', '14', '2013']","['32', '7']"
"['13', '14', '2014']","['51', '12']"
"['13', '14', '2015']","['50', '8']"
"['13', '14', '2016']","['51', '8']"
"['13', '14', '2017']","['67', '9']"
"['13', '14', '2018']","['55', '13']"
"['13', '14', '2019']","['36', '6']"
"['13', '14', '2020']","['28', '8']"
"['13', '14', '2021']","['25', '8']"
"['13', '14', '2022']","['23', '12']"
"['13', '14', '2023']","['26', '24']"
"['13', '15', '2008']","['16', '3']"
"['13', '15', '2009']","['26', '5']"
"['13', '15', '2010']","['15', '4']"
"['13', '15', '2011']","['18', '6']"
"['13', '15', '2012']","['20', '5']"
"['13', '15', '2013']","['34', '9']"
"['13', '15', '2014']","['63', '9']"
"['13', '15', '2015']","['51', '1']"
"['13', '15', '2016']","['75', '5']"
"['13', '15', '2017']","['57', '0']"
"['13', '15', '2018']","['51', '6']"
"['13', '15', '2019']","['27', '5']"
"['13', '15', '2020']","['22', '11']"
"['13', '15', '2021']","['20', '7']"
"['13', '15', '2022']","['23', '19']"
"['13', '15', '2023']","['18', '16']"
"['13', '16', '2008']","['26', '6']"
"['13', '16', '2009']","['20', '2']"
"['13', '16', '2010']","['22', '2']"
"['13', '16', '2011']","['35', '6']"
"['13', '16', '2012']","['30', '4']"
"['13', '16', '2013']","['35', '7']"
"['13', '16', '2014']","['51', '11']"
"['13', '16', '2015']","['49', '6']"
"['13', '16', '2016']","['80', '8']"
"['13', '16', '2017']","['82', '2']"
"['13', '16', '2018']","['51', '3']"
"['13', '16', '2019']","['38', '3']"
"['13', '16', '2020']","['36', '6']"
"['13', '16', '2021']","['18', '6']"
"['13', '16', '2022']","['30', '10']"
"['13', '16', '2023']","['25', '16']"
"['13', '17', '2008']","['24', '6']"
"['13', '17', '2009']","['20', '5']"
"['13', '17', '2010']","['19', '5']"
"['13', '17', '2011']","['22', '9']"
"['13', '17', '2012']","['18', '3']"
"['13', '17', '2013']","['42', '7']"
"['13', '17', '2014']","['50', '3']"
"['13', '17', '2015']","['60', '2']"
"['13', '17', '2016']","['106', '4']"
"['13', '17', '2017']","['58', '4']"
"['13', '17', '2018']","['43', '6']"
"['13', '17', '2019']","['26', '2']"
"['13', '17', '2020']","['19', '5']"
"['13', '17', '2021']","['26', '6']"
"['13', '17', '2022']","['19', '6']"
"['13', '17', '2023']","['22', '17']"
"['13', '18', '2008']","['25', '7']"
"['13', '18', '2009']","['33', '4']"
"['13', '18', '2010']","['24', '4']"
"['13', '18', '2011']","['20', '2']"
"['13', '18', '2012']","['22', '7']"
"['13', '18', '2013']","['30', '7']"
"['13', '18', '2014']","['53', '4']"
"['13', '18', '2015']","['58', '4']"
"['13', '18', '2016']","['119', '6']"
"['13', '18', '2017']","['77', '6']"
"['13', '18', '2018']","['52', '8']"
"['13', '18', '2019']","['36', '7']"
"['13', '18', '2020']","['25', '3']"
"['13', '18', '2021']","['34', '10']"
"['13', '18', '2022']","['32', '8']"
"['13', '18', '2023']","['27', '13']"
"['13', '19', '2008']","['42', '39']"
"['13', '19', '2009']","['39', '35']"
"['13', '19', '2010']","['22', '52']"
"['13', '19', '2011']","['34', '50']"
"['13', '19', '2012']","['25', '29']"
"['13', '19', '2013']","['35', '17']"
"['13', '19', '2014']","['45', '17']"
"['13', '19', '2015']","['51', '15']"
"['13', '19', '2016']","['91', '14']"
"['13', '19', '2017']","['45', '9']"
"['13', '19', '2018']","['92', '10']"
"['13', '19', '2019']","['45', '11']"
"['13', '19', '2020']","['31', '7']"
"['13', '19', '2021']","['29', '8']"
"['13', '19', '2022']","['38', '16']"
"['13', '19', '2023']","['34', '7']"
"['14', '0', '2008']","['123', '52']"
"['14', '0', '2009']","['102', '38']"
"['14', '0', '2010']","['88', '30']"
"['14', '0', '2011']","['119', '47']"
"['14', '0', '2012']","['116', '26']"
"['14', '0', '2013']","['160', '43']"
"['14', '0', '2014']","['184', '27']"
"['14', '0', '2015']","['206', '16']"
"['14', '0', '2016']","['297', '20']"
"['14', '0', '2017']","['225', '22']"
"['14', '0', '2018']","['227', '13']"
"['14', '0', '2019']","['169', '19']"
"['14', '0', '2020']","['151', '19']"
"['14', '0', '2021']","['131', '14']"
"['14', '0', '2022']","['113', '22']"
"['14', '0', '2023']","['130', '21']"
"['14', '1', '2008']","['269', '130']"
"['14', '1', '2009']","['249', '116']"
"['14', '1', '2010']","['246', '110']"
"['14', '1', '2011']","['268', '105']"
"['14', '1', '2012']","['259', '96']"
"['14', '1', '2013']","['340', '128']"
"['14', '1', '2014']","['372', '151']"
"['14', '1', '2015']","['397', '84']"
"['14', '1', '2016']","['497', '83']"
"['14', '1', '2017']","['482', '95']"
"['14', '1', '2018']","['415', '76']"
"['14', '1', '2019']","['403', '80']"
"['14', '1', '2020']","['266', '93']"
"['14', '1', '2021']","['336', '89']"
"['14', '1', '2022']","['356', '123']"
"['14', '1', '2023']","['316', '139']"
"['14', '2', '2008']","['259', '119']"
"['14', '2', '2009']","['228', '126']"
"['14', '2', '2010']","['209', '90']"
"['14', '2', '2011']","['230', '132']"
"['14', '2', '2012']","['250', '121']"
"['14', '2', '2013']","['305', '130']"
"['14', '2', '2014']","['374', '116']"
"['14', '2', '2015']","['388', '138']"
"['14', '2', '2016']","['456', '108']"
"['14', '2', '2017']","['361', '110']"
"['14', '2', '2018']","['356', '96']"
"['14', '2', '2019']","['326', '91']"
"['14', '2', '2020']","['245', '115']"
"['14', '2', '2021']","['289', '126']"
"['14', '2', '2022']","['344', '152']"
"['14', '2', '2023']","['266', '184']"
"['14', '3', '2008']","['234', '98']"
"['14', '3', '2009']","['211', '103']"
"['14', '3', '2010']","['172', '114']"
"['14', '3', '2011']","['207', '100']"
"['14', '3', '2012']","['272', '130']"
"['14', '3', '2013']","['305', '150']"
"['14', '3', '2014']","['344', '120']"
"['14', '3', '2015']","['357', '127']"
"['14', '3', '2016']","['429', '88']"
"['14', '3', '2017']","['371', '111']"
"['14', '3', '2018']","['345', '101']"
"['14', '3', '2019']","['301', '99']"
"['14', '3', '2020']","['209', '128']"
"['14', '3', '2021']","['211', '147']"
"['14', '3', '2022']","['276', '135']"
"['14', '3', '2023']","['249', '238']"
"['14', '4', '2008']","['209', '118']"
"['14', '4', '2009']","['184', '85']"
"['14', '4', '2010']","['175', '101']"
"['14', '4', '2011']","['173', '112']"
"['14', '4', '2012']","['231', '110']"
"['14', '4', '2013']","['310', '135']"
"['14', '4', '2014']","['329', '120']"
"['14', '4', '2015']","['342', '135']"
"['14', '4', '2016']","['440', '102']"
"['14', '4', '2017']","['401', '128']"
"['14', '4', '2018']","['353', '112']"
"['14', '4', '2019']","['281', '114']"
"['14', '4', '2020']","['182', '143']"
"['14', '4', '2021']","['219', '158']"
"['14', '4', '2022']","['298', '183']"
"['14', '4', '2023']","['230', '255']"
"['14', '5', '2008']","['215', '106']"
"['14', '5', '2009']","['181', '97']"
"['14', '5', '2010']","['136', '78']"
"['14', '5', '2011']","['176', '126']"
"['14', '5', '2012']","['236', '112']"
"['14', '5', '2013']","['331', '137']"
"['14', '5', '2014']","['320', '129']"
"['14', '5', '2015']","['353', '112']"
"['14', '5', '2016']","['404', '113']"
"['14', '5', '2017']","['364', '109']"
"['14', '5', '2018']","['340', '104']"
"['14', '5', '2019']","['274', '131']"
"['14', '5', '2020']","['188', '140']"
"['14', '5', '2021']","['249', '167']"
"['14', '5', '2022']","['263', '183']"
"['14', '5', '2023']","['246', '261']"
"['14', '6', '2008']","['187', '113']"
"['14', '6', '2009']","['188', '88']"
"['14', '6', '2010']","['181', '106']"
"['14', '6', '2011']","['164', '133']"
"['14', '6', '2012']","['197', '120']"
"['14', '6', '2013']","['375', '128']"
"['14', '6', '2014']","['369', '124']"
"['14', '6', '2015']","['325', '137']"
"['14', '6', '2016']","['416', '100']"
"['14', '6', '2017']","['307', '90']"
"['14', '6', '2018']","['347', '111']"
"['14', '6', '2019']","['275', '148']"
"['14', '6', '2020']","['210', '143']"
"['14', '6', '2021']","['220', '193']"
"['14', '6', '2022']","['247', '216']"
"['14', '6', '2023']","['200', '327']"
"['14', '7', '2008']","['193', '99']"
"['14', '7', '2009']","['174', '88']"
"['14', '7', '2010']","['186', '94']"
"['14', '7', '2011']","['155', '91']"
"['14', '7', '2012']","['205', '95']"
"['14', '7', '2013']","['328', '115']"
"['14', '7', '2014']","['340', '107']"
"['14', '7', '2015']","['341', '112']"
"['14', '7', '2016']","['391', '114']"
"['14', '7', '2017']","['375', '131']"
"['14', '7', '2018']","['340', '89']"
"['14', '7', '2019']","['254', '134']"
"['14', '7', '2020']","['200', '141']"
"['14', '7', '2021']","['180', '208']"
"['14', '7', '2022']","['234', '168']"
"['14', '7', '2023']","['231', '305']"
"['14', '8', '2008']","['172', '101']"
"['14', '8', '2009']","['181', '106']"
"['14', '8', '2010']","['139', '77']"
"['14', '8', '2011']","['158', '109']"
"['14', '8', '2012']","['197', '80']"
"['14', '8', '2013']","['318', '89']"
"['14', '8', '2014']","['320', '107']"
"['14', '8', '2015']","['316', '108']"
"['14', '8', '2016']","['387', '90']"
"['14', '8', '2017']","['334', '76']"
"['14', '8', '2018']","['329', '115']"
"['14', '8', '2019']","['246', '112']"
"['14', '8', '2020']","['167', '114']"
"['14', '8', '2021']","['208', '182']"
"['14', '8', '2022']","['225', '160']"
"['14', '8', '2023']","['197', '261']"
"['14', '9', '2008']","['181', '97']"
"['14', '9', '2009']","['188', '77']"
"['14', '9', '2010']","['168', '61']"
"['14', '9', '2011']","['147', '81']"
"['14', '9', '2012']","['194', '87']"
"['14', '9', '2013']","['329', '87']"
"['14', '9', '2014']","['289', '85']"
"['14', '9', '2015']","['333', '87']"
"['14', '9', '2016']","['352', '80']"
"['14', '9', '2017']","['368', '82']"
"['14', '9', '2018']","['303', '89']"
"['14', '9', '2019']","['239', '94']"
"['14', '9', '2020']","['166', '117']"
"['14', '9', '2021']","['163', '134']"
"['14', '9', '2022']","['229', '153']"
"['14', '9', '2023']","['188', '225']"
"['14', '10', '2008']","['180', '85']"
"['14', '10', '2009']","['146', '80']"
"['14', '10', '2010']","['147', '56']"
"['14', '10', '2011']","['152', '69']"
"['14', '10', '2012']","['183', '80']"
"['14', '10', '2013']","['336', '90']"
"['14', '10', '2014']","['277', '76']"
"['14', '10', '2015']","['330', '75']"
"['14', '10', '2016']","['360', '72']"
"['14', '10', '2017']","['340', '80']"
"['14', '10', '2018']","['330', '84']"
"['14', '10', '2019']","['227', '85']"
"['14', '10', '2020']","['201', '98']"
"['14', '10', '2021']","['165', '139']"
"['14', '10', '2022']","['208', '139']"
"['14', '10', '2023']","['182', '221']"
"['14', '11', '2008']","['160', '70']"
"['14', '11', '2009']","['158', '74']"
"['14', '11', '2010']","['141', '60']"
"['14', '11', '2011']","['137', '69']"
"['14', '11', '2012']","['203', '77']"
"['14', '11', '2013']","['297', '63']"
"['14', '11', '2014']","['278', '81']"
"['14', '11', '2015']","['305', '93']"
"['14', '11', '2016']","['340', '68']"
"['14', '11', '2017']","['305', '64']"
"['14', '11', '2018']","['323', '77']"
"['14', '11', '2019']","['205', '92']"
"['14', '11', '2020']","['173', '118']"
"['14', '11', '2021']","['184', '138']"
"['14', '11', '2022']","['193', '130']"
"['14', '11', '2023']","['150', '210']"
"['14', '12', '2008']","['171', '85']"
"['14', '12', '2009']","['161', '64']"
"['14', '12', '2010']","['112', '60']"
"['14', '12', '2011']","['126', '71']"
"['14', '12', '2012']","['187', '81']"
"['14', '12', '2013']","['283', '82']"
"['14', '12', '2014']","['265', '53']"
"['14', '12', '2015']","['292', '64']"
"['14', '12', '2016']","['350', '59']"
"['14', '12', '2017']","['321', '77']"
"['14', '12', '2018']","['313', '66']"
"['14', '12', '2019']","['231', '84']"
"['14', '12', '2020']","['179', '77']"
"['14', '12', '2021']","['161', '108']"
"['14', '12', '2022']","['172', '127']"
"['14', '12', '2023']","['166', '174']"
"['14', '13', '2008']","['162', '74']"
"['14', '13', '2009']","['169', '57']"
"['14', '13', '2010']","['124', '57']"
"['14', '13', '2011']","['135', '51']"
"['14', '13', '2012']","['204', '62']"
"['14', '13', '2013']","['317', '74']"
"['14', '13', '2014']","['265', '65']"
"['14', '13', '2015']","['287', '53']"
"['14', '13', '2016']","['324', '52']"
"['14', '13', '2017']","['292', '42']"
"['14', '13', '2018']","['267', '59']"
"['14', '13', '2019']","['211', '62']"
"['14', '13', '2020']","['168', '58']"
"['14', '13', '2021']","['155', '97']"
"['14', '13', '2022']","['174', '94']"
"['14', '13', '2023']","['152', '159']"
"['14', '14', '2008']","['183', '65']"
"['14', '14', '2009']","['139', '60']"
"['14', '14', '2010']","['148', '50']"
"['14', '14', '2011']","['118', '45']"
"['14', '14', '2012']","['190', '57']"
"['14', '14', '2013']","['289', '58']"
"['14', '14', '2014']","['296', '71']"
"['14', '14', '2015']","['294', '69']"
"['14', '14', '2016']","['365', '55']"
"['14', '14', '2017']","['297', '50']"
"['14', '14', '2018']","['316', '60']"
"['14', '14', '2019']","['217', '56']"
"['14', '14', '2020']","['183', '58']"
"['14', '14', '2021']","['156', '97']"
"['14', '14', '2022']","['143', '92']"
"['14', '14', '2023']","['162', '145']"
"['14', '15', '2008']","['162', '48']"
"['14', '15', '2009']","['161', '47']"
"['14', '15', '2010']","['145', '51']"
"['14', '15', '2011']","['177', '32']"
"['14', '15', '2012']","['192', '60']"
"['14', '15', '2013']","['323', '58']"
"['14', '15', '2014']","['325', '56']"
"['14', '15', '2015']","['331', '53']"
"['14', '15', '2016']","['393', '57']"
"['14', '15', '2017']","['353', '51']"
"['14', '15', '2018']","['298', '45']"
"['14', '15', '2019']","['195', '51']"
"['14', '15', '2020']","['146', '54']"
"['14', '15', '2021']","['153', '70']"
"['14', '15', '2022']","['165', '76']"
"['14', '15', '2023']","['132', '123']"
"['14', '16', '2008']","['181', '57']"
"['14', '16', '2009']","['193', '43']"
"['14', '16', '2010']","['154', '48']"
"['14', '16', '2011']","['207', '57']"
"['14', '16', '2012']","['282', '53']"
"['14', '16', '2013']","['362', '43']"
"['14', '16', '2014']","['405', '51']"
"['14', '16', '2015']","['412', '56']"
"['14', '16', '2016']","['516', '43']"
"['14', '16', '2017']","['448', '41']"
"['14', '16', '2018']","['296', '44']"
"['14', '16', '2019']","['226', '44']"
"['14', '16', '2020']","['149', '51']"
"['14', '16', '2021']","['138', '68']"
"['14', '16', '2022']","['158', '61']"
"['14', '16', '2023']","['132', '101']"
"['14', '17', '2008']","['181', '43']"
"['14', '17', '2009']","['166', '30']"
"['14', '17', '2010']","['167', '26']"
"['14', '17', '2011']","['214', '39']"
"['14', '17', '2012']","['269', '39']"
"['14', '17', '2013']","['328', '38']"
"['14', '17', '2014']","['357', '46']"
"['14', '17', '2015']","['425', '48']"
"['14', '17', '2016']","['520', '32']"
"['14', '17', '2017']","['385', '37']"
"['14', '17', '2018']","['267', '28']"
"['14', '17', '2019']","['168', '42']"
"['14', '17', '2020']","['125', '33']"
"['14', '17', '2021']","['139', '53']"
"['14', '17', '2022']","['141', '54']"
"['14', '17', '2023']","['105', '69']"
"['14', '18', '2008']","['186', '46']"
"['14', '18', '2009']","['178', '34']"
"['14', '18', '2010']","['171', '38']"
"['14', '18', '2011']","['180', '40']"
"['14', '18', '2012']","['202', '44']"
"['14', '18', '2013']","['284', '50']"
"['14', '18', '2014']","['345', '42']"
"['14', '18', '2015']","['391', '44']"
"['14', '18', '2016']","['581', '27']"
"['14', '18', '2017']","['536', '32']"
"['14', '18', '2018']","['386', '44']"
"['14', '18', '2019']","['220', '33']"
"['14', '18', '2020']","['162', '26']"
"['14', '18', '2021']","['177', '31']"
"['14', '18', '2022']","['172', '30']"
"['14', '18', '2023']","['189', '60']"
"['14', '19', '2008']","['257', '150']"
"['14', '19', '2009']","['253', '117']"
"['14', '19', '2010']","['242', '130']"
"['14', '19', '2011']","['191', '120']"
"['14', '19', '2012']","['208', '111']"
"['14', '19', '2013']","['276', '99']"
"['14', '19', '2014']","['301', '86']"
"['14', '19', '2015']","['262', '63']"
"['14', '19', '2016']","['439', '57']"
"['14', '19', '2017']","['317', '61']"
"['14', '19', '2018']","['562', '63']"
"['14', '19', '2019']","['237', '51']"
"['14', '19', '2020']","['148', '47']"
"['14', '19', '2021']","['193', '70']"
"['14', '19', '2022']","['212', '57']"
"['14', '19', '2023']","['204', '69']"
"['17', '0', '2008']","['19', '1']"
"['17', '0', '2009']","['20', '3']"
"['17', '0', '2010']","['15', '5']"
"['17', '0', '2011']","['15', '1']"
"['17', '0', '2012']","['21', '1']"
"['17', '0', '2013']","['30', '3']"
"['17', '0', '2014']","['27', '1']"
"['17', '0', '2015']","['31', '2']"
"['17', '0', '2016']","['61', '0']"
"['17', '0', '2017']","['33', '5']"
"['17', '0', '2018']","['28', '0']"
"['17', '0', '2019']","['20', '0']"
"['17', '0', '2020']","['18', '2']"
"['17', '0', '2021']","['13', '3']"
"['17', '0', '2022']","['15', '0']"
"['17', '0', '2023']","['17', '4']"
"['17', '1', '2008']","['43', '8']"
"['17', '1', '2009']","['29', '12']"
"['17', '1', '2010']","['44', '17']"
"['17', '1', '2011']","['37', '18']"
"['17', '1', '2012']","['41', '14']"
"['17', '1', '2013']","['63', '22']"
"['17', '1', '2014']","['65', '14']"
"['17', '1', '2015']","['69', '13']"
"['17', '1', '2016']","['142', '13']"
"['17', '1', '2017']","['118', '6']"
"['17', '1', '2018']","['66', '12']"
"['17', '1', '2019']","['53', '6']"
"['17', '1', '2020']","['34', '9']"
"['17', '1', '2021']","['41', '7']"
"['17', '1', '2022']","['39', '15']"
"['17', '1', '2023']","['36', '17']"
"['17', '2', '2008']","['38', '16']"
"['17', '2', '2009']","['32', '16']"
"['17', '2', '2010']","['31', '14']"
"['17', '2', '2011']","['44', '14']"
"['17', '2', '2012']","['38', '19']"
"['17', '2', '2013']","['61', '10']"
"['17', '2', '2014']","['54', '13']"
"['17', '2', '2015']","['63', '19']"
"['17', '2', '2016']","['140', '15']"
"['17', '2', '2017']","['65', '9']"
"['17', '2', '2018']","['46', '15']"
"['17', '2', '2019']","['37', '10']"
"['17', '2', '2020']","['22', '15']"
"['17', '2', '2021']","['31', '12']"
"['17', '2', '2022']","['37', '22']"
"['17', '2', '2023']","['29', '18']"
"['17', '3', '2008']","['32', '10']"
"['17', '3', '2009']","['30', '12']"
"['17', '3', '2010']","['25', '8']"
"['17', '3', '2011']","['32', '16']"
"['17', '3', '2012']","['61', '14']"
"['17', '3', '2013']","['61', '13']"
"['17', '3', '2014']","['60', '20']"
"['17', '3', '2015']","['64', '18']"
"['17', '3', '2016']","['124', '17']"
"['17', '3', '2017']","['66', '10']"
"['17', '3', '2018']","['46', '10']"
"['17', '3', '2019']","['27', '19']"
"['17', '3', '2020']","['31', '17']"
"['17', '3', '2021']","['21', '13']"
"['17', '3', '2022']","['30', '20']"
"['17', '3', '2023']","['22', '18']"
"['17', '4', '2008']","['37', '15']"
"['17', '4', '2009']","['24', '9']"
"['17', '4', '2010']","['37', '11']"
"['17', '4', '2011']","['35', '13']"
"['17', '4', '2012']","['35', '15']"
"['17', '4', '2013']","['49', '10']"
"['17', '4', '2014']","['52', '18']"
"['17', '4', '2015']","['53', '14']"
"['17', '4', '2016']","['145', '17']"
"['17', '4', '2017']","['74', '5']"
"['17', '4', '2018']","['49', '11']"
"['17', '4', '2019']","['27', '18']"
"['17', '4', '2020']","['19', '17']"
"['17', '4', '2021']","['28', '15']"
"['17', '4', '2022']","['41', '18']"
"['17', '4', '2023']","['17', '30']"
"['17', '5', '2008']","['30', '12']"
"['17', '5', '2009']","['26', '11']"
"['17', '5', '2010']","['25', '13']"
"['17', '5', '2011']","['25', '12']"
"['17', '5', '2012']","['41', '11']"
"['17', '5', '2013']","['66', '13']"
"['17', '5', '2014']","['61', '18']"
"['17', '5', '2015']","['67', '18']"
"['17', '5', '2016']","['115', '16']"
"['17', '5', '2017']","['67', '10']"
"['17', '5', '2018']","['55', '13']"
"['17', '5', '2019']","['29', '13']"
"['17', '5', '2020']","['24', '11']"
"['17', '5', '2021']","['23', '18']"
"['17', '5', '2022']","['35', '25']"
"['17', '5', '2023']","['28', '22']"
"['17', '6', '2008']","['30', '5']"
"['17', '6', '2009']","['22', '9']"
"['17', '6', '2010']","['28', '13']"
"['17', '6', '2011']","['27', '10']"
"['17', '6', '2012']","['32', '13']"
"['17', '6', '2013']","['53', '7']"
"['17', '6', '2014']","['53', '5']"
"['17', '6', '2015']","['64', '17']"
"['17', '6', '2016']","['124', '9']"
"['17', '6', '2017']","['76', '8']"
"['17', '6', '2018']","['61', '11']"
"['17', '6', '2019']","['43', '9']"
"['17', '6', '2020']","['27', '11']"
"['17', '6', '2021']","['34', '15']"
"['17', '6', '2022']","['30', '18']"
"['17', '6', '2023']","['25', '33']"
"['17', '7', '2008']","['37', '11']"
"['17', '7', '2009']","['30', '8']"
"['17', '7', '2010']","['24', '6']"
"['17', '7', '2011']","['22', '16']"
"['17', '7', '2012']","['37', '12']"
"['17', '7', '2013']","['53', '11']"
"['17', '7', '2014']","['56', '9']"
"['17', '7', '2015']","['62', '17']"
"['17', '7', '2016']","['114', '13']"
"['17', '7', '2017']","['67', '5']"
"['17', '7', '2018']","['42', '16']"
"['17', '7', '2019']","['33', '13']"
"['17', '7', '2020']","['21', '9']"
"['17', '7', '2021']","['30', '12']"
"['17', '7', '2022']","['32', '19']"
"['17', '7', '2023']","['22', '27']"
"['17', '8', '2008']","['25', '9']"
"['17', '8', '2009']","['15', '5']"
"['17', '8', '2010']","['20', '12']"
"['17', '8', '2011']","['16', '8']"
"['17', '8', '2012']","['30', '8']"
"['17', '8', '2013']","['48', '15']"
"['17', '8', '2014']","['47', '7']"
"['17', '8', '2015']","['53', '11']"
"['17', '8', '2016']","['96', '9']"
"['17', '8', '2017']","['70', '6']"
"['17', '8', '2018']","['44', '10']"
"['17', '8', '2019']","['40', '14']"
"['17', '8', '2020']","['19', '7']"
"['17', '8', '2021']","['28', '16']"
"['17', '8', '2022']","['35', '15']"
"['17', '8', '2023']","['28', '21']"
"['17', '9', '2008']","['32', '6']"
"['17', '9', '2009']","['25', '5']"
"['17', '9', '2010']","['25', '4']"
"['17', '9', '2011']","['26', '13']"
"['17', '9', '2012']","['36', '6']"
"['17', '9', '2013']","['51', '10']"
"['17', '9', '2014']","['66', '10']"
"['17', '9', '2015']","['59', '10']"
"['17', '9', '2016']","['104', '7']"
"['17', '9', '2017']","['66', '9']"
"['17', '9', '2018']","['42', '8']"
"['17', '9', '2019']","['38', '13']"
"['17', '9', '2020']","['20', '6']"
"['17', '9', '2021']","['21', '11']"
"['17', '9', '2022']","['25', '20']"
"['17', '9', '2023']","['18', '25']"
"['17', '10', '2008']","['36', '8']"
"['17', '10', '2009']","['25', '7']"
"['17', '10', '2010']","['20', '5']"
"['17', '10', '2011']","['20', '8']"
"['17', '10', '2012']","['24', '4']"
"['17', '10', '2013']","['35', '13']"
"['17', '10', '2014']","['41', '11']"
"['17', '10', '2015']","['48', '10']"
"['17', '10', '2016']","['82', '9']"
"['17', '10', '2017']","['68', '9']"
"['17', '10', '2018']","['46', '5']"
"['17', '10', '2019']","['31', '7']"
"['17', '10', '2020']","['27', '8']"
"['17', '10', '2021']","['23', '9']"
"['17', '10', '2022']","['35', '15']"
"['17', '10', '2023']","['22', '16']"
"['17', '11', '2008']","['24', '11']"
"['17', '11', '2009']","['21', '9']"
"['17', '11', '2010']","['15', '8']"
"['17', '11', '2011']","['20', '4']"
"['17', '11', '2012']","['37', '7']"
"['17', '11', '2013']","['52', '6']"
"['17', '11', '2014']","['63', '11']"
"['17', '11', '2015']","['55', '11']"
"['17', '11', '2016']","['85', '6']"
"['17', '11', '2017']","['62', '6']"
"['17', '11', '2018']","['37', '7']"
"['17', '11', '2019']","['26', '10']"
"['17', '11', '2020']","['18', '9']"
"['17', '11', '2021']","['32', '11']"
"['17', '11', '2022']","['28', '12']"
"['17', '11', '2023']","['20', '30']"
"['17', '12', '2008']","['30', '8']"
"['17', '12', '2009']","['33', '7']"
"['17', '12', '2010']","['20', '8']"
"['17', '12', '2011']","['20', '10']"
"['17', '12', '2012']","['28', '5']"
"['17', '12', '2013']","['49', '10']"
"['17', '12', '2014']","['48', '5']"
"['17', '12', '2015']","['46', '12']"
"['17', '12', '2016']","['76', '3']"
"['17', '12', '2017']","['74', '8']"
"['17', '12', '2018']","['41', '4']"
"['17', '12', '2019']","['31', '2']"
"['17', '12', '2020']","['36', '8']"
"['17', '12', '2021']","['28', '14']"
"['17', '12', '2022']","['39', '16']"
"['17', '12', '2023']","['19', '15']"
"['17', '13', '2008']","['29', '6']"
"['17', '13', '2009']","['26', '8']"
"['17', '13', '2010']","['21', '9']"
"['17', '13', '2011']","['31', '2']"
"['17', '13', '2012']","['30', '3']"
"['17', '13', '2013']","['44', '10']"
"['17', '13', '2014']","['49', '9']"
"['17', '13', '2015']","['46', '5']"
"['17', '13', '2016']","['79', '4']"
"['17', '13', '2017']","['43', '2']"
"['17', '13', '2018']","['38', '9']"
"['17', '13', '2019']","['32', '3']"
"['17', '13', '2020']","['23', '5']"
"['17', '13', '2021']","['18', '11']"
"['17', '13', '2022']","['27', '12']"
"['17', '13', '2023']","['22', '19']"
"['17', '14', '2008']","['24', '6']"
"['17', '14', '2009']","['31', '8']"
"['17', '14', '2010']","['16', '6']"
"['17', '14', '2011']","['21', '3']"
"['17', '14', '2012']","['44', '10']"
"['17', '14', '2013']","['35', '7']"
"['17', '14', '2014']","['53', '7']"
"['17', '14', '2015']","['42', '9']"
"['17', '14', '2016']","['79', '3']"
"['17', '14', '2017']","['67', '4']"
"['17', '14', '2018']","['33', '4']"
"['17', '14', '2019']","['31', '8']"
"['17', '14', '2020']","['19', '4']"
"['17', '14', '2021']","['23', '15']"
"['17', '14', '2022']","['35', '11']"
"['17', '14', '2023']","['26', '18']"
"['17', '15', '2008']","['28', '7']"
"['17', '15', '2009']","['27', '4']"
"['17', '15', '2010']","['20', '9']"
